entityName,variationId,count,timestamp
Identifier,3,58,1511637818582
Identifier,10,308,1511637818587
Identifier,9,989,1511637818590
Identifier,1,507,1511637818591
Identifier,2,50,1511637818591
Identifier,4,84,1511637818593
Identifier,8,4,1511637818703
Identifier,7,16,1511637818710
Identifier,13,920,1511637818710
Identifier,11,1638,1511637818711
Identifier,5,18,1511637818992
Identifier,23,3,1511637819170
Identifier,15,7,1511637819277
Identifier,6,8,1511637819318
Identifier,12,3,1511637819590
Identifier,14,147,1511637819609
Identifier,21,55,1511637820043
Identifier,22,7,1511637820043
Identifier,16,2,1511637820307
Identifier,18,5,1511637820314
Identifier,25,1,1511637820489
Identifier,24,111,1511637831869
Identifier,20,371,1511637837085
Identifier,19,162,1511637838651
Identifier,17,4,1511637848865
Birth_place,2,147,1511637818590
Birth_place,1,1674,1511637818700
Birth_place,3,971,1511637819292
Birth_place,5,72,1511637819725
Birth_place,4,2005,1511637837084
Birth_place,6,713,1511637837089
Birth_place,7,71,1511637837223
Birth_place,8,3,1511637871260
Birth_place,9,114,1511637903570
Birth_date,1,4789,1511637818582
Birth_date,2,10809,1511637831869
Birth_date,4,249,1511637834527
Birth_date,3,52,1511637841117
Nationality,1,16977,1511637818582
Nationality,2,587,1511637818992
Sanctions,4292,3,1511637818582
Sanctions,3950,6,1511637818583
Sanctions,3949,5,1511637818585
Sanctions,4299,5,1511637818585
Sanctions,3962,1,1511637818586
Sanctions,3967,3,1511637818587
Sanctions,4314,1,1511637818587
Sanctions,3947,1,1511637818588
Sanctions,4300,5,1511637818588
Sanctions,1274,1,1511637818590
Sanctions,3953,2,1511637818591
Sanctions,1272,1,1511637818593
Sanctions,4230,2,1511637818700
Sanctions,3893,2,1511637818701
Sanctions,3909,2,1511637818701
Sanctions,3890,1,1511637818703
Sanctions,3901,11,1511637818704
Sanctions,2113,2,1511637818705
Sanctions,3863,15,1511637818706
Sanctions,4223,13,1511637818706
Sanctions,3855,1,1511637818707
Sanctions,3865,25,1511637818709
Sanctions,602,1,1511637818710
Sanctions,68,1,1511637818711
Sanctions,3998,1,1511637818716
Sanctions,1300,1,1511637818717
Sanctions,4222,4,1511637818718
Sanctions,307,1,1511637818845
Sanctions,610,1,1511637818847
Sanctions,3861,1,1511637818848
Sanctions,903,1,1511637818850
Sanctions,906,1,1511637818850
Sanctions,1261,1,1511637818852
Sanctions,612,1,1511637818853
Sanctions,3922,2,1511637818855
Sanctions,103,1,1511637818856
Sanctions,82,1,1511637818857
Sanctions,902,1,1511637818859
Sanctions,1833,1,1511637818860
Sanctions,3906,1,1511637818862
Sanctions,99,1,1511637818866
Sanctions,3985,1,1511637818868
Sanctions,1417,2,1511637818869
Sanctions,419,1,1511637818989
Sanctions,614,1,1511637818990
Sanctions,3873,1,1511637818992
Sanctions,1265,1,1511637818994
Sanctions,3870,4,1511637818997
Sanctions,917,1,1511637818998
Sanctions,925,1,1511637818999
Sanctions,3896,10,1511637819000
Sanctions,3869,1,1511637819004
Sanctions,102,2,1511637819005
Sanctions,3907,1,1511637819007
Sanctions,4442,2,1511637819009
Sanctions,3976,5,1511637819010
Sanctions,3977,2,1511637819013
Sanctions,1845,4,1511637819014
Sanctions,3897,10,1511637819015
Sanctions,3921,2,1511637819017
Sanctions,912,1,1511637819019
Sanctions,98,1,1511637819020
Sanctions,3891,1,1511637819022
Sanctions,1290,1,1511637819025
Sanctions,1867,1,1511637819131
Sanctions,1846,1,1511637819132
Sanctions,23,1,1511637819133
Sanctions,613,1,1511637819135
Sanctions,4232,31,1511637819135
Sanctions,1271,1,1511637819137
Sanctions,1835,2,1511637819139
Sanctions,1843,4,1511637819142
Sanctions,615,4,1511637819144
Sanctions,3968,1,1511637819144
Sanctions,1832,1,1511637819145
Sanctions,1286,1,1511637819150
Sanctions,4506,4,1511637819150
Sanctions,3917,1,1511637819152
Sanctions,1610,1,1511637819153
Sanctions,606,7,1511637819155
Sanctions,1048,1,1511637819158
Sanctions,725,1,1511637819160
Sanctions,3961,1,1511637819165
Sanctions,1931,1,1511637819168
Sanctions,3919,1,1511637819169
Sanctions,1853,1,1511637819170
Sanctions,1852,1,1511637819172
Sanctions,3883,2,1511637819174
Sanctions,1382,1,1511637819175
Sanctions,1266,1,1511637819178
Sanctions,3997,1,1511637819179
Sanctions,2,1,1511637819180
Sanctions,2119,1,1511637819181
Sanctions,3895,3,1511637819183
Sanctions,3958,1,1511637819184
Sanctions,1836,1,1511637819274
Sanctions,920,1,1511637819277
Sanctions,605,1,1511637819279
Sanctions,2114,1,1511637819282
Sanctions,4233,1,1511637819282
Sanctions,3879,1,1511637819285
Sanctions,788,1,1511637819287
Sanctions,1861,1,1511637819288
Sanctions,3995,1,1511637819289
Sanctions,3900,6,1511637819291
Sanctions,4269,2,1511637819292
Sanctions,4319,2,1511637819292
Sanctions,3887,2,1511637819293
Sanctions,104,1,1511637819295
Sanctions,1325,1,1511637819312
Sanctions,1932,2,1511637819313
Sanctions,1837,1,1511637819315
Sanctions,3884,1,1511637819317
Sanctions,4231,1,1511637819318
Sanctions,1270,1,1511637819321
Sanctions,3957,1,1511637819322
Sanctions,1838,1,1511637819326
Sanctions,907,1,1511637819327
Sanctions,3923,1,1511637819332
Sanctions,4241,1,1511637819333
Sanctions,971,2,1511637819340
Sanctions,81,1,1511637819416
Sanctions,2112,1,1511637819419
Sanctions,1979,1,1511637819424
Sanctions,3920,3,1511637819425
Sanctions,2110,1,1511637819426
Sanctions,1858,1,1511637819428
Sanctions,3885,1,1511637819430
Sanctions,618,1,1511637819435
Sanctions,4240,1,1511637819437
Sanctions,1277,1,1511637819438
Sanctions,3913,1,1511637819439
Sanctions,1854,1,1511637819440
