entityName,variationId,count,firstTimestamp,lastTimestamp
Address,1,56,1511637818590,1511637821018
Address,2,26,1511637818705,1511637820897
Address,3,2304,1511637818710,1511637897791
Address,4,133,1511637818711,1511637863852
Address,5,45,1511637818711,1511637821015
Address,7,61,1511637818717,1511637886872
Address,8,848,1511637818850,1511637897786
Address,9,1446,1511637818860,1511637897786
Address,10,146,1511637818869,1511637897386
Address,11,17,1511637819133,1511637820610
Address,12,44,1511637819158,1511637852322
Address,16,20,1511637819312,1511637841063
Address,17,21,1511637819566,1511637821017
Address,20,43,1511637819896,1511637897266
Address,24,48,1511637820320,1511637872570
Address,29,360,1511637820870,1511637897266
Address,30,721,1511637831869,1511637874089
Address,31,1400,1511637832761,1511637897435
Address,33,295,1511637837231,1511637897787
Address,34,35,1511637837361,1511637838513
Address,36,603,1511637838633,1511637874210
Address,37,75,1511637838668,1511637841247
Address,38,223,1511637838670,1511637882558
Address,40,26,1511637838912,1511637840618
Address,47,923,1511637845713,1511637852865
Address,48,64,1511637846770,1511637852622
Address,52,3280,1511637862993,1511637886895
Address,53,110,1511637862998,1511637897721
Address,54,209,1511637863003,1511637863866
Address,58,33,1511637865015,1511637874093
Address,60,2472,1511637880217,1511637886898
Address,61,1196,1511637880221,1511637897787
Address,62,963,1511637880362,1511637886897
Address,63,45,1511637880375,1511637886794
Address,64,19,1511637880518,1511637886629
Address,67,80,1511637881358,1511637886871
Address,68,31,1511637881403,1511637886879
Alias,1,1387,1511637818583,1511637841267
Alias,2,538,1511637831869,1511637834800
Alias,3,140,1511637831872,1511637834348
Alias,4,124,1511637831872,1511637834535
Alias,5,55,1511637832038,1511637834322
Alias,6,31,1511637832603,1511637834735
Alias,7,41,1511637832761,1511637834746
Alias,10,391,1511637837084,1511637841236
Alias,11,496,1511637837237,1511637897764
Alias,13,1283,1511637838492,1511637904028
Alias,16,73,1511637838851,1511637841242
Alias,17,146,1511637839061,1511637840998
Alias,18,157,1511637839061,1511637840997
Alias,20,74,1511637839069,1511637897630
Alias,22,337,1511637839779,1511637841264
Alias,23,74,1511637839779,1511637840651
Alias,24,47,1511637839798,1511637840557
Alias,25,35,1511637839806,1511637840360
Alias,26,17,1511637839825,1511637840304
Alias,28,17,1511637839831,1511637840211
Alias,40,12,1511637840019,1511637840652
Alias,47,340,1511637840680,1511637897792
Alias,48,41,1511637840692,1511637840992
Alias,49,14,1511637840692,1511637840992
Alias,52,1653,1511637845570,1511637852930
Alias,53,1302,1511637845731,1511637852588
Alias,54,113,1511637864575,1511637874209
Alias,55,32,1511637864861,1511637874082
Alias,56,72,1511637865002,1511637874093
Alias,57,83,1511637865016,1511637873946
Alias,58,11,1511637865995,1511637872711
Alias,59,16,1511637867300,1511637872795
Alias,62,66,1511637894551,1511637897596
Alias,63,63,1511637895137,1511637897753
Alias,64,32,1511637895243,1511637897748
Birth_date,1,4789,1511637818582,1511637852589
Birth_date,2,10809,1511637831869,1511637904028
Birth_date,3,249,1511637834527,1511637902766
Birth_place,1,147,1511637818590,1511637897708
Birth_place,2,1674,1511637818700,1511637897792
Birth_place,3,971,1511637819292,1511637897778
Birth_place,4,72,1511637819725,1511637874082
Birth_place,5,2005,1511637837084,1511637852588
Birth_place,6,713,1511637837089,1511637841262
Birth_place,7,71,1511637837223,1511637841243
Birth_place,9,114,1511637903570,1511637904028
Identifier,1,58,1511637818582,1511637867896
Identifier,2,308,1511637818587,1511637897790
Identifier,3,989,1511637818590,1511637852930
Identifier,4,507,1511637818591,1511637897783
Identifier,5,50,1511637818591,1511637820573
Identifier,6,84,1511637818593,1511637873946
Identifier,8,16,1511637818710,1511637820571
Identifier,9,920,1511637818710,1511637852930
Identifier,10,1638,1511637818711,1511637852930
Identifier,11,18,1511637818992,1511637820583
Identifier,16,147,1511637819609,1511637852863
Identifier,17,55,1511637820043,1511637874085
Identifier,22,111,1511637831869,1511637834800
Identifier,23,371,1511637837085,1511637841267
Identifier,24,162,1511637838651,1511637841264
Nationality,1,16977,1511637818582,1511637907396
Nationality,2,587,1511637818992,1511637907264
Posts,1,3,1511637818582,1511637819610
Posts,2,6,1511637818583,1511637820560
Posts,3,5,1511637818585,1511637820468
Posts,4,5,1511637818585,1511637820562
Posts,5,1,1511637818586,1511637818586
Posts,6,3,1511637818587,1511637820466
Posts,7,1,1511637818587,1511637818587
Posts,8,1,1511637818588,1511637818588
Posts,9,5,1511637818588,1511637820562
Posts,10,1,1511637818590,1511637818590
Posts,11,2,1511637818591,1511637819605
Posts,12,1,1511637818593,1511637818593
Posts,13,2,1511637818700,1511637820202
Posts,14,2,1511637818701,1511637820026
Posts,15,2,1511637818701,1511637820340
Posts,16,1,1511637818703,1511637818703
Posts,17,11,1511637818704,1511637819436
Posts,18,2,1511637818705,1511637819003
Posts,19,15,1511637818706,1511637820488
Posts,20,13,1511637818706,1511637820438
Posts,21,1,1511637818707,1511637818707
Posts,22,25,1511637818709,1511637820569
Posts,23,1,1511637818710,1511637818710
Posts,24,1,1511637818711,1511637818711
Posts,25,1,1511637818716,1511637818716
Posts,26,1,1511637818717,1511637818717
Posts,27,4,1511637818718,1511637820310
Posts,28,1,1511637818845,1511637818845
Posts,29,1,1511637818847,1511637818847
Posts,30,1,1511637818848,1511637818848
Posts,31,1,1511637818850,1511637818850
Posts,32,1,1511637818850,1511637818850
Posts,33,1,1511637818852,1511637818852
Posts,34,1,1511637818853,1511637818853
Posts,35,2,1511637818855,1511637820445
Posts,36,1,1511637818856,1511637818856
Posts,37,1,1511637818857,1511637818857
Posts,38,1,1511637818859,1511637818859
Posts,39,1,1511637818860,1511637818860
Posts,40,1,1511637818862,1511637818862
Posts,41,1,1511637818866,1511637818866
Posts,42,1,1511637818868,1511637818868
Posts,43,2,1511637818869,1511637820161
Posts,44,1,1511637818989,1511637818989
Posts,45,1,1511637818990,1511637818990
Posts,46,1,1511637818992,1511637818992
Posts,47,1,1511637818994,1511637818994
Posts,48,4,1511637818997,1511637820570
Posts,49,1,1511637818998,1511637818998
Posts,50,1,1511637818999,1511637818999
Posts,51,10,1511637819000,1511637820576
Posts,52,1,1511637819004,1511637819004
Posts,53,2,1511637819005,1511637820311
Posts,54,1,1511637819007,1511637819007
Posts,55,2,1511637819009,1511637819906
Posts,56,5,1511637819010,1511637820485
Posts,57,2,1511637819013,1511637819470
Posts,58,4,1511637819014,1511637819579
Posts,59,10,1511637819015,1511637820478
Posts,60,2,1511637819017,1511637820305
Posts,61,1,1511637819019,1511637819019
Posts,62,1,1511637819020,1511637819020
