entityName,variationId,count,firstTimestamp,lastTimestamp
Badges,1,35931305,0,0
Comments,1,73936601,1217595495430,1590910802597
Comments,2,1035397,1217824544397,1590908127377
Postlinks,1,6691871,1272243588130,1590912430887
Posts,3,8731577,1217535477883,1590895201943
Posts,7,74008,1217560195993,1590853014770
Posts,9,60386,1217585782167,1532718470980
Posts,10,19983095,1217585957417,1590895854193
Posts,15,33782,1217590679723,1589867152883
Posts,20,189254,1217594461110,1590842110810
Posts,23,257963,1217597243093,1590731246190
Posts,25,1544128,1217603698337,1590880008820
Posts,27,46836,1217608574070,1590885519653
Posts,31,58046,1217662854693,1590875880750
Posts,35,40513,1217768830073,1590709136150
Posts,36,56365,1217770457523,1590705644713
Posts,37,860923,1217772228290,1590892675190
Posts,40,3651438,1217815182557,1590892264423
Posts,45,1009606,1217854030970,1590875727310
Posts,46,3807910,1217854961893,1590895252313
Posts,48,37407,1217880070317,1590871043840
Posts,53,3228044,1217937425033,1590892485547
Posts,60,36516,1218036439883,1590854404873
Posts,61,127114,1218050097507,1590883696003
Posts,62,175415,1218061203607,1590881123887
Posts,64,3469415,1218068878560,1590895855990
Posts,68,604509,1218127927230,1590894843443
Posts,102,56989,1218977280350,1590782393440
Posts,136,48148,1220905155737,1590872413463
Posts,140,213275,1221231884630,1590894767830
Posts,141,164891,1221329720187,1590894244183
Posts,269,83460,1279781159633,1590683318213
Tags,1,16072,0,0
Tags,2,42457,0,0
Users,1,124659,1217455200000,1590892880193
Users,2,229707,1217506951287,1590892405887
Users,4,1541497,1217545151147,1590894608227
Users,5,84092,1217584913023,1590877872377
Users,6,121232,1217585114233,1590891992583
Users,7,76811,1217585351010,1590893641003
Users,8,2022488,1217585503703,1590894814660
Users,9,356545,1217585894520,1590892796000
Users,10,178927,1217588211897,1590836295727
Users,11,72882,1217648436787,1590831574340
Users,13,149314,1217918023627,1590894861367
Users,15,7310775,1218118277027,1590895141807
Users,16,123486,1218723792697,1590880327473
Votes,1,172223073,1217455200000,1578610800000
Votes,2,12089014,1222984800000,1578610800000
